BID,batteryCapacity,batteryType,curState,grant,manufacturer,mileage_max,model,numCharge,region,startDate,totalDistance,type,warranty_distance,warranty_year
12507,16.4,BEV,waiting,706,Kia,91.0,ray_18,455,Daegu,2015-1-19,822962922,sedan,120000,6
17469,284.7,BEV,manufacture,1200,Tesla,359.5,modelS_75d,375,Seoul,2015-8-17,1264869079,sedan,140000,5
17573,26.64,PHEV,inspection,839,Renault,135.0,sm3_17,491,Jeju,2017-8-22,141748401,sedan,140000,7
22905,35.94,PHEV,inspection,1017,Renault,212.7,sm3_18,556,Gyunggi,2014-9-30,1190284169,sedan,140000,7
22965,6.77,BEV,waiting,450,Renault,60.8,twizy,330,Jeju,2013-3-26,444262329,compact,120000,7
7601,30.0,HEV,waiting,1027,Kia,179.6,soul_18,349,Daegu,2016-8-29,190403,sedan,160000,10
22301,28.0,PHEV,inspection,1126,Hyundai,200.1,ionic_2018,389,Seoul,2015-4-25,211902545,sedan,200000,10
21902,26.64,PHEV,using,839,Renault,135.0,sm3_17,140,GyeongBuk,2017-1-29,427606385,sedan,140000,7
9351,39.24,HEV,manufacture,1200,Hyundai,254.2,Kona_economic,441,Jeju,2015-4-24,1234122083,sedan,200000,10
1285,39.24,HEV,using,1200,Hyundai,254.2,Kona_economic,195,Jeju,2014-7-30,979876784,sedan,200000,10
9444,39.24,HEV,waiting,1200,Hyundai,254.2,Kona_economic,252,Seoul,2014-8-30,764110579,sedan,200000,10
16235,6.77,BEV,using,450,Renault,60.8,twizy,455,Seoul,2017-3-23,574017948,compact,120000,7
4305,28.0,PHEV,manufacture,1126,Hyundai,200.1,ionic_2018,226,Jeju,2013-8-19,1850538690,sedan,200000,10
23157,101.5,BEV,using,1200,Tesla,424.0,modelP_100d,70,GyeongNam,2015-8-26,1274412548,sedan,140000,5
16087,60.9,PHEV,manufacture,1200,GM,303.2,Volt_ev,477,Jeju,2016-1-27,608595808,sedan,160000,8
7815,284.7,BEV,using,1200,Tesla,359.5,modelS_75d,620,Seoul,2013-8-26,222820292,sedan,140000,5
20273,284.7,BEV,using,1200,Tesla,359.5,modelS_75d,389,Gyunggi,2017-8-23,206931720,sedan,140000,5
8094,16.4,BEV,waiting,706,Kia,91.0,ray_18,391,Gyunggi,2017-3-20,791378238,sedan,120000,6
16712,28.08,PHEV,using,1127,Hyundai,191.2,ionic_2017,202,Jeju,2015-8-23,1819310616,sedan,200000,10
3608,26.64,PHEV,manufacture,839,Renault,135.0,sm3_17,644,Gangwon,2016-1-18,31679904,sedan,140000,7
25926,18.8,BEV,manufacture,807,BMW,132.0,i3_17,693,Jeju,2014-3-25,133301263,sedan,100000,8
15253,30.0,HEV,manufacture,1027,Kia,179.6,soul_18,661,Gyunggi,2016-1-22,1293440146,sedan,160000,10
12816,30.0,HEV,inspection,1027,Kia,179.6,soul_18,648,Jeju,2013-9-27,1238056988,sedan,160000,10
14617,16.4,BEV,manufacture,706,Kia,91.0,ray_18,651,Jeju,2015-2-23,1037574023,sedan,120000,6
7190,39.24,HEV,manufacture,1200,Hyundai,254.2,Kona_economic,235,Gyunggi,2017-6-25,1478007281,sedan,200000,10
11011,28.0,PHEV,waiting,1126,Hyundai,200.1,ionic_2018,476,Daegu,2013-6-22,1085163146,sedan,200000,10
10918,6.77,BEV,inspection,450,Renault,60.8,twizy,302,Seoul,2013-5-20,45824975,compact,120000,7
12480,87.5,BEV,manufacture,1200,Tesla,378.5,modelS_90d,191,GyeongNam,2013-9-21,593306476,sedan,140000,5
18060,35.94,PHEV,waiting,1017,Renault,212.7,sm3_18,304,Seoul,2017-5-20,793332401,sedan,140000,7
22984,28.0,PHEV,manufacture,1126,Hyundai,200.1,ionic_2018,212,Daejeon,2017-1-26,1621834893,sedan,200000,10
9929,28.08,PHEV,inspection,1127,Hyundai,191.2,ionic_2017,140,Jeju,2015-3-30,1738719177,sedan,200000,10
14119,7.25,BEV,manufacture,450,Dechang,60.8,danigo,638,Jeju,2015-5-17,254149821,compact,150000,5
13141,16.4,BEV,inspection,706,Kia,91.0,ray_18,149,Daegu,2013-7-22,549781615,sedan,120000,6
247,30.0,HEV,manufacture,1027,Kia,179.6,soul_18,398,Seoul,2017-4-30,106131296,sedan,160000,10
18608,33.18,BEV,manufacture,1091,BMW,208.2,i3_18,488,Gyunggi,2017-5-29,598951402,sedan,100000,8
21200,23.76,BEV,waiting,849,Nissan,132.8,LEAF,575,Daegu,2015-7-26,619092786,sedan,100000,6
5125,60.9,PHEV,using,1200,GM,303.2,Volt_ev,303,Jeju,2017-2-18,306017386,sedan,160000,8
5166,60.9,PHEV,inspection,1200,GM,303.2,Volt_ev,579,Jeju,2015-8-21,1264701444,sedan,160000,8
13248,26.64,PHEV,inspection,839,Renault,135.0,sm3_17,269,Daegu,2017-4-23,1045349425,sedan,140000,7
12983,30.0,HEV,manufacture,1027,Kia,179.6,soul_18,335,Daegu,2013-6-21,705327146,sedan,160000,10
8175,26.64,PHEV,using,839,Renault,135.0,sm3_17,197,Jeju,2016-9-24,1155228149,sedan,140000,7
13090,60.9,PHEV,manufacture,1200,GM,303.2,Volt_ev,417,Seoul,2014-9-20,40347436,sedan,160000,8
20468,39.24,HEV,manufacture,1200,Hyundai,254.2,Kona_economic,600,Gangwon,2017-6-24,1744774368,sedan,200000,10
17350,6.77,BEV,waiting,450,Renault,60.8,twizy,327,JeonNam,2015-7-29,340659019,compact,120000,7
3100,39.24,HEV,manufacture,1200,Hyundai,254.2,Kona_economic,247,Jeju,2013-3-28,863949398,sedan,200000,10
23441,284.7,BEV,inspection,1200,Tesla,359.5,modelS_75d,236,JeonNam,2013-2-24,1359117197,sedan,140000,5
4861,26.64,PHEV,inspection,839,Renault,135.0,sm3_17,204,Jeju,2017-7-22,280850858,sedan,140000,7
7139,101.5,BEV,inspection,1200,Tesla,451.2,modelS_100d,360,Busan,2015-7-19,268411675,sedan,140000,5
16550,101.5,BEV,manufacture,1200,Tesla,424.0,modelP_100d,667,Jeju,2014-7-21,874102749,sedan,140000,5
24280,6.77,BEV,using,450,Renault,60.8,twizy,553,Jeju,2013-7-24,876043562,compact,120000,7
6735,28.08,PHEV,waiting,1127,Hyundai,191.2,ionic_2017,578,Gwangju,2016-5-24,236231725,sedan,200000,10
24881,6.77,BEV,inspection,450,Renault,60.8,twizy,103,Jeju,2016-1-24,248941813,compact,120000,7
9609,7.25,BEV,using,450,Dechang,60.8,danigo,131,Jeju,2014-9-29,1216328593,compact,150000,5
25776,284.7,BEV,manufacture,1200,Tesla,359.5,modelS_75d,122,GyeongNam,2017-1-29,625455466,sedan,140000,5
16637,23.76,BEV,using,849,Nissan,132.8,LEAF,438,Jeju,2017-3-28,590907745,sedan,100000,6
15661,30.0,HEV,using,1027,Kia,179.6,soul_18,449,Incheon,2017-9-27,870406950,sedan,160000,10
8708,60.9,PHEV,waiting,1200,GM,303.2,Volt_ev,34,GyeongBuk,2014-6-25,62216086,sedan,160000,8
2342,7.25,BEV,using,450,Dechang,60.8,danigo,79,Jeju,2015-3-19,221132244,compact,150000,5
19759,23.76,BEV,waiting,849,Nissan,132.8,LEAF,181,Busan,2016-8-20,733204856,sedan,100000,6
24630,35.94,PHEV,manufacture,1017,Renault,212.7,sm3_18,149,Jeju,2014-1-26,920078145,sedan,140000,7
10679,7.25,BEV,waiting,450,Dechang,60.8,danigo,637,Busan,2013-9-23,1451424169,compact,150000,5
16855,101.5,BEV,inspection,1200,Tesla,424.0,modelP_100d,654,Daegu,2017-9-23,363497309,sedan,140000,5
22339,18.8,BEV,waiting,807,BMW,132.0,i3_17,303,JeonBuk,2015-4-24,534152332,sedan,100000,8
16651,18.8,BEV,manufacture,807,BMW,132.0,i3_17,277,Seoul,2013-4-25,933119617,sedan,100000,8
4552,6.77,BEV,inspection,450,Renault,60.8,twizy,540,JeonNam,2013-3-19,456674467,compact,120000,7
11857,28.08,PHEV,manufacture,1127,Hyundai,191.2,ionic_2017,185,Seoul,2016-2-17,1382489953,sedan,200000,10
14004,33.18,BEV,waiting,1091,BMW,208.2,i3_18,127,ChungNam,2017-7-27,220906977,sedan,100000,8
13827,6.77,BEV,inspection,450,Renault,60.8,twizy,293,Jeju,2013-8-25,875054519,compact,120000,7
16452,7.25,BEV,using,450,Dechang,60.8,danigo,228,Seoul,2014-7-22,544018348,compact,150000,5
17906,6.77,BEV,manufacture,450,Renault,60.8,twizy,568,Jeju,2015-7-17,536715432,compact,120000,7
24702,87.5,BEV,waiting,1200,Tesla,378.5,modelS_90d,413,Gyunggi,2017-8-28,335867278,sedan,140000,5
25516,28.0,PHEV,using,1126,Hyundai,200.1,ionic_2018,202,ChungBuk,2013-4-25,486969128,sedan,200000,10
15540,39.24,HEV,waiting,1200,Hyundai,254.2,Kona_economic,299,Gyunggi,2017-8-25,488753385,sedan,200000,10
3436,23.76,BEV,waiting,849,Nissan,132.8,LEAF,459,Seoul,2014-4-17,674936024,sedan,100000,6
25904,87.5,BEV,inspection,1200,Tesla,378.5,modelS_90d,351,Daegu,2017-8-24,1069647502,sedan,140000,5
8382,87.5,BEV,inspection,1200,Tesla,378.5,modelS_90d,429,Jeju,2015-2-17,694463084,sedan,140000,5
12834,87.5,BEV,using,1200,Tesla,378.5,modelS_90d,522,GyeongNam,2016-2-17,1052178371,sedan,140000,5
2862,26.64,PHEV,manufacture,839,Renault,135.0,sm3_17,207,Jeju,2013-4-23,492103767,sedan,140000,7
1448,30.0,HEV,manufacture,1027,Kia,179.6,soul_18,257,Daegu,2014-4-24,106359075,sedan,160000,10
24889,28.08,PHEV,manufacture,1127,Hyundai,191.2,ionic_2017,610,Jeju,2017-8-25,1383558123,sedan,200000,10
